user_id,Product_Name,Review,Rating
U39,Soda,"No complaints, good purchase.",4
U12,Sourdough,Perfect condition upon delivery.,5
U459,Ground Beef,Arrived on time and well packed.,4
U374,Apples,Could be better.,3
U149,Raspberries,Decent quality and freshness.,4
U86,Honey,Mediocre quality.,3
U88,Whole Chicken,Consistently great product.,5
U246,Spinach,Consistently great product.,5
U184,Espresso,Tasted really bad.,1
U85,Onions,Decent quality and freshness.,4
U327,Eggs,Consistently great product.,5
U30,Bread,Fairly average experience.,3
U247,Fruit Snacks,"No complaints, good purchase.",4
U484,Whole Chicken,Better than expected.,4
U490,Tomato Sauce,Best value for money.,5
U103,Chicken Thighs,The taste was just okay.,3
U386,Limes,Mediocre quality.,3
U43,Eggs,Quality was inconsistent.,2
U1,Strawberries,"Top-notch quality, highly recommended.",5
U405,Chicken Nuggets,Fairly average experience.,3
U186,Coffee,Fresh and tasty overall.,4
U144,Club Soda,Perfect condition upon delivery.,5
U396,Chickpeas,"Top-notch quality, highly recommended.",5
U431,Honey,Decent but not outstanding.,3
U495,Salmon,Not very impressed with the quality.,2
U426,Apple Juice,Decent quality and freshness.,4
U351,Limes,Not worth the price.,2
U491,Chicken Nuggets,Worth every penny.,5
U330,Club Soda,"No complaints, good purchase.",4
U95,Club Soda,Mediocre quality.,3
U186,Strawberries,Perfect condition upon delivery.,5
U329,Garlic,Good quality for the price.,4
U224,Soy Milk,"It was okay, nothing special.",3
U423,Laundry Detergent,"No complaints, good purchase.",4
U421,Aluminum Foil,Below average quality.,2
U315,Lemons,My family loved this product.,5
U142,Apple Juice,Tastes amazing and very fresh.,5
U163,Ground Beef,Fresh and tasty overall.,4
U87,Energy Drink,My family loved this product.,5
U264,Trash Bags,"No complaints, good purchase.",4
U259,Tea,Will definitely buy again.,5
U412,Frozen Waffles,Perfect condition upon delivery.,5
U88,Soda,Exceeded my expectations.,5
U139,Peppers,Exceeded my expectations.,5
U360,Frozen Pizza,Average quality overall.,3
U335,Peanut Butter,My family loved this product.,5
U152,Sour Cream,Item was expired or near expiration.,1
U142,Apples,"Not bad, not great either.",3
U389,Vegetable Oil,Decent but not outstanding.,3
U314,Broccoli,A reliable grocery item.,4
U262,Fabric Softener,Satisfied with this product.,4
U489,Canola Oil,Fresh and tasty overall.,4
U468,Club Soda,Quality was inconsistent.,2
U119,Sparkling Water,Absolutely fresh and high quality!,5
U289,Almonds,Absolutely fresh and high quality!,5
U313,Pretzels,Perfect condition upon delivery.,5
U436,Frozen Burritos,Worth every penny.,5
U338,Flour,Exceeded my expectations.,5
U272,English Muffins,Will definitely buy again.,5
U23,Garlic,The taste was just okay.,3
U485,Soda,Quality was inconsistent.,2
U108,Honey,"Not bad, not great either.",3
